LangCode	ZH_CN	EN	FR	DE	IT	PT	ES	RU	JA	KO	ID	TH	VI	AR	ZH_TW
^病毒从底部消失会从顶部再出现	病毒从底部消失会从顶部再出现	Viruses vanishing at the bottom will reappear from the top	Les virus disparaissent en bas et réapparaissent en haut	Viren, die unten entweichen, kommen von oben wieder	I virus che scompaiono in basso ricompaiono dall'alto	Os vírus que desaparecem na parte inferior reaparecerão no alto	Los virus que desaparecen en la parte inferior reaparecerán en la superior	Вирусы, исчезающие внизу экрана, снова появляются сверху	画面下まで落ちたウィルスは、また画面上から降ってきます	밑에서 사라진 바이러스가 위에서 재등장합니다.	Virus yang menghilang di bawah layar akan muncul kembali dari atas	ไวรัสอันตรธานไปทางด้านล่าง จะปรากฏตัวมาอีกจากทางด้านบน	Vi rút biến mất ở phía dưới sẽ tái xuất hiện từ phía trên	ﻰﻠﻋﻷﺍ ﻦﻣ ﻯﺮﺧﺃ ﺓﺮﻣ ﺮﻬﻈﺘﺳ ﻰﺷﻼﺘﺗ ﻲﺘﻟﺍ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ	病毒從底部消失會從頂部再出現
^不要被病毒碰到飞船头部	不要被病毒碰到飞船头部	Protect the head of your airship from viruses	Protégez l'avant du vaisseau contre les virus	Halt Deinen Bug von den Viren weg	Proteggi la testa della tua aeronave dai virus	Proteja a cabeça de sua aeronave contra vírus	Protege el cabezal de tu aeronave de virus	Защищайте свой корабль от столкновения с вирусами	自機の前部をウィルスから避けてください	비행선 머리를 바이러스로부터 보호하세요.	Lindungi kepala kapal udaramu dari virus	ปกป้องหัวเรือบินของคุณจากไวรัส	Bảo vệ đầu não khí cầu của bạn khỏi vi rút	ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﻦﻣ ﺩﺎﻄﻨﻤﻟﺍ ﺱﺃﺭ ِﻢﺣﺍ	不要被病毒碰到飛船頭部
^升级武器可以快速提升实力消灭病毒	升级武器可以快速提升实力消灭病毒	Upgrade weapons to speed up the clearing power	Améliorez les armes pour éradiquer les virus plus rapidement	Rüste Waffen auf, damit Du schneller räumen kannst	Aggiorna le armi per velocizzare la potenza di eliminazione	Faça o upgrade das armas para acelerar o poder de eliminação	Mejora tus armas para acelerar el poder de eliminación	Улучшайте оружие, чтобы ускорить зачистку	武器をアップグレードしてウイルスを除去しやすくします	무기를 업그레이드하여 클리어 속도를 높이세요.	Tingkatkan senjata untuk mempercepat daya basmi	อัปเกรดอาวุธเพื่อเร่งพลังทำลายล้าง	Nâng cấp vũ khí để tăng sức mạnh tiêu diệt	ﺢﺴﻤﻟﺍ ﺓﻮﻗ ﻊﻳﺮﺴﺘﻟ ﺔﺤﻠﺳﻷﺍ ﺔﻴﻗﺮﺘﺑ ﻢﻗ	升級武器可以快速提升實力消滅病毒
^通关后可解锁更多副武器	通关后可解锁更多副武器	Complete levels to unlock more Sec-weapons	Terminez des niveaux pour débloquer dautres armes secondaires	Vervollständige Level und erhalte mehr Nebenwaffen	Completa i livelli per sbloccare ulteriori armi secondarie	Conclua os níveis para desbloquear mais armas seg.	Completa los niveles para desbloquear más armas secundarias	Проходите уровни, чтобы разблокировать больше Второстепенного Оружия	レベルをクリアして第2武器をアンロックします	레벨을 완료하면 보조 무기가 더 많이 열립니다.	Selesaikan level untuk membuka lebih banyak senjata sekunder	ไต่ระดับให้สำเร็จเพื่อปลดล็อคอาวุธรองมากขึ้น	Hoàn thành các cấp độ để mở khóa thêm các vũ khí thứ cấp	ﺔﻳﻮﻧﺎﺜﻟﺍ ﺔﺤﻠﺳﻷﺍ ﻦﻣ ﺪﻳﺰﻣ ﺢﺘﻔﻟ ﺕﺎﻳﻮﺘﺴﻤﻟﺍ ﻞﻤﻛﺃ	通關後可解鎖更多副武器
^病毒的颜色代表消灭它的难度	病毒的颜色代表消灭它的难度	A Virus's color indicates the difficulty of clearing it	Les couleurs des virus indiquent la difficulté pour les éradiquer	Die Farbe eines Virus zeigt, wie schwierig er zu bekämpfen ist	Il colore di un virus indica la difficoltà nell'eliminarlo	Uma cor de vírus indica a dificuldade de eliminá-lo	El color del virus indica la dificultad de eliminarlo	Цвет вируса обозначает сложность его зачистки	ウイルスの色は除去の難しさを示しています	바이러스의 색은 클리어 난이도를 의미합니다.	Warna Virus menunjukkan tingkat kesulitan dalam membasminya	สีของไวรัสแสดงระดับความยากในการทำลาย	Màu của Vi rút thể hiện độ khó tiêu diệt của Vi rút đó	ﻪﺤﺴﻣ ﺔﺑﻮﻌﺻ ﻰﻟﺇ ﺱﻭﺮﻴﻔﻟﺍ ﻥﻮﻟ ﺮﻴﺸﻳ	病毒的顏色代表消滅它的難度
^同一只病毒会自上而下循环出现	同一只病毒会自上而下循环出现	Viruses will move from top to bottom	Les virus se déplacent de haut en bas	Viren treiben von oben nach unten	I virus si muovono dall'alto al basso	Os vírus vão se mover de cima para baixo	Los virus se desplazan de arriba hacia abajo	Вирусы двигаются сверху вниз	ウイルスは画面の上から下に落ちてきます	바이러스가 위에서 밑으로 이동합니다.	Virus akan bergerak dari atas ke bawah	ไวรัสจะเคลื่อนตัวจากด้านบนลงไปด้านล่าง	Vi rút sẽ di chuyển từ trên xuống dưới	ﻞﻔﺳﻷﺍ ﻰﻟﺇ ﻰﻠﻋﻷﺍ ﻦﻣ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﻞﻘﺘﻨﺗ ﻑﻮﺳ	同一只病毒會自上而下迴圈出現
^病毒从底部消失会从顶部再出现	病毒从底部消失会从顶部再出现	Viruses vanishing at the bottom will appear from the top	Les virus disparaissent en bas et réapparaissent en haut	Viren, die unten entweichen, kommen von oben wieder	I virus che scompaiono in basso compaiono di nuovo in alto	Os vírus que desaparecem na parte inferior aparecerão no alto	Los virus que desaparecen de la parte inferior reaparecerán en la superior	Вирусы, исчезающие внизу экрана, появляются сверху	画面下まで落ちたウィルスは、また画面上から降ってきます	밑에서 사라진 바이러스가 위에서 재등장합니다.	Virus yang menghilang di bawah layar akan muncul dari atas	ไวรัสอันตรธานไปทางด้านล่าง จะปรากฏตัวมาอีกจากทางด้านบน	Vi rút biến mất ở phía dưới sẽ xuất hiện từ phía trên	ﻰﻠﻋﻷﺍ ﻦﻣ ﺮﻬﻈﺘﺳ ﻰﺷﻼﺘﺗ ﻲﺘﻟﺍ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ	病毒從底部消失會從頂部再出現
^升级武器可以快速提升实力消灭病毒	升级武器可以快速提升实力消灭病毒	Upgrade weapons to speed up the clearing power	Améliorez les armes pour éradiquer les virus plus rapidement	Rüste Waffen auf, damit Du schneller räumen kannst	Aggiorna le armi per velocizzare la potenza di eliminazione	Faça o upgrade das armas para acelerar o poder de eliminação	Mejora tus armas para acelerar el poder de eliminación	Улучшайте оружие, чтобы ускорить зачистку	武器をアップグレードしてウイルスを除去しやすくします	무기를 업그레이드하여 클리어 속도를 높이세요.	Tingkatkan senjata untuk mempercepat daya basmi	อัปเกรดอาวุธเพื่อเร่งพลังทำลายล้าง	Nâng cấp vũ khí để tăng sức mạnh tiêu diệt	ﺢﺴﻤﻟﺍ ﺓﻮﻗ ﻊﻳﺮﺴﺘﻟ ﺔﺤﻠﺳﻷﺍ ﺔﻴﻗﺮﺘﺑ ﻢﻗ	升級武器可以快速提升實力消滅病毒
^优先消灭具有治疗能力的病毒	优先消灭具有治疗能力的病毒	Clear the self-healing viruses first	Éradiquez d'abord les virus qui se régénèrent	Räum zuerst die selbstheilenden Viren	Elimina prima i virus autorigeneranti	Elimine primeiro os vírus que se autorregeneram	Elimina primero los virus de autoregeneración	Уничтожайте самоисцеляющиеся вирусы первыми	自己治療するウイルスを早めに除去しましょう	자가 치유 바이러스를 먼저 클리어하세요.	Basmi virus yang dapat menyembuhkan diri terlebih dahulu	กวาดล้างไวรัสที่ซ่อมแซมตัวเองได้ก่อนเป็นอันดับแรก	Tiêu diệt vi rút tự hồi phục trước	ًﻻﻭﺃ ﺓﺩﺎﻌﺘﺳﻻﺍ ﺔﻴﺗﺍﺫ ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﺢﺴﻣﺍ	優先消滅具有治療能力的病毒
^金币不够？升级“金币价值”和“日常收益”	金币不够？升级“金币价值”和“日常收益”	Upgrade 'Coin Value' and 'Daily Earnings' to earn more coins	Améliorez Valeur pièces et Gains du jour pour gagner plus de pièces	Rüste Münzwert und Tageseinkommen auf und verdiene mehr Münzen	Aggiorna "Valore monete" e "Guadagni quotidiani" per ottenere altre monete	Faça o upgrade de "Valor da moeda" e "Ganhos diários" para ganhar mais moedas	Actualiza 'Valor de moneda' y 'Ganancias diarias' para ganar más monedas	Улучшайте «Стоим. Монет» и «Монет в день», чтобы получать больше монет	「コインの価値」と「デイリーボーナス」をアップグレードしてコインを稼ぎます	'코인 값'과 '일일 획득'을 업그레이드하고 더 많은 코인을 받으세요.	Tingkatkan “Nilai Koin” & “Perolehan Harian”untuk mendapat lebih banyak koin 	อัปเกรด 'มูลค่าเหรียญ' และ 'รายได้รายวัน' เพื่อให้ได้เหรียญมากขึ้น	Nâng cấp ‘Giá trị tiền xu’ và ‘Thu nhập hàng ngày’ để kiếm thêm tiền xu	ﺕﻼﻤﻌﻟﺍ ﻦﻣ ﺪﻳﺰﻤﻟﺍ ﺢﺑﺮﺘﻟ "ﺔﻴﻣﻮﻴﻟﺍ ﺡﺎﺑﺭﻷﺍ" ﻭ "ﺔﻠﻤﻌﻟﺍ ﺔﻤﻴﻗ" ﺔﻴﻗﺮﺘﺑ ﻢﻗ	金幣不夠？升級“金幣價值”和“日常收益”
